"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2822818226","","","Kia Picanto urban édition","8 500 €","Pack Sérénité","202052000 kmEssenceManuelle","2020","52000 km","Essence","Manuelle","Wavrin 59136"
"https://www.leboncoin.fr/ad/voitures/2767174657","","","Twingo III Life SCE 65","","Pack Sérénité","202050339 kmEssenceManuelle","2020","50339 km","Essence","Manuelle","Grand Bourgtheroulde 27520"
"https://www.leboncoin.fr/ad/voitures/2802225479","","","Citroën C3 PureTech 82 S&S BVM5 Live","8 500 €","Pack Sérénité","202044000 kmEssenceManuelle","2020","44000 km","Essence","Manuelle","Levallois-Perret 92300"
"https://www.leboncoin.fr/ad/voitures/2793094670","","","Vend FIAT PANDA 1.2 69 EASY 2020","8 500 €","Pack Sérénité","202035500 kmEssenceManuelle","2020","35500 km","Essence","Manuelle","Saleilles 66280"
"https://www.leboncoin.fr/ad/voitures/2791682001","","","DACIA Sandero City+ 1.0 SCe 75 1ère main Ethanol","8 500 €","Paiement sécurisé","202077000 kmAutreManuelle","2020","77000 km","Autre","Manuelle","Escazeaux 82500"
"https://www.leboncoin.fr/ad/voitures/2779304926","","","Voiture sans permis, Citroën, ami","8 500 €","Paiement sécurisé","20234000 kmElectriqueManuelle","2023","4000 km","Electrique","Manuelle","La Valette-du-Var 83160"
"https://www.leboncoin.fr/ad/voitures/2809019030","","","Peugeot 108 2021","8 590 €","Pack Sérénité","202110100 kmEssenceManuelle","2021","10100 km","Essence","Manuelle","Igny 91430"
"https://www.leboncoin.fr/ad/voitures/2785651870","","","Ford fiesta cool & connect S&S 75cv 2020","","Pack Sérénité","2020128000 kmEssenceManuelle","2020","128000 km","Essence","Manuelle","Étival-Clairefontaine 88480"
"https://www.leboncoin.fr/ad/voitures/2821218483","","","Sandero DACIA City+ 2020","8 600 €","Pack Sérénité","202090000 kmEssenceManuelle","2020","90000 km","Essence","Manuelle","Montarnaud 34570"
"https://www.leboncoin.fr/ad/voitures/2816093297","","","Fiat Panda Cool 1.2 69 ch","8 600 €","Pack Sérénité","202025500 kmEssenceManuelle","2020","25500 km","Essence","Manuelle","Guebwiller 68500"
"https://www.leboncoin.fr/ad/voitures/2810387234","","","I 10","8 600 €","Pack Sérénité","202161000 kmEssenceManuelle","2021","61000 km","Essence","Manuelle","La Croix-aux-Mines 88520"
"https://www.leboncoin.fr/ad/voitures/2806682771","","","108 Peugeot","8 600 €","Pack Sérénité","202043200 kmEssenceManuelle","2020","43200 km","Essence","Manuelle","Aix-les-Bains 73100"
"https://www.leboncoin.fr/ad/voitures/2792001320","","","108 collection VTI S&S bvm 5 portes","8 600 €","Pack Sérénité","202033000 kmEssenceManuelle","2020","33000 km","Essence","Manuelle","Meaux 77100"
